k;lu;P0;I;gamma;sgamma;r;Psat;Lsat;loptim;lres;loptim/lres;Psat/Pall;Lsat/lu;f;rho;P0/Pall
2.53E+00;3.88E+00;4.27E+03;6.00E+01;2.00E+03;0.00000E+00;2.00000E-04;3.40E+07;6.20E+01;2.03866E-08;2.03722E-08;7.07705E-04;5.54E-04;1.60E+01;7.77E-01;5.88E-04;6.96E-08
2.53E+00;3.88E+00;4.27E+04;6.00E+01;5.48E+02;0.00000E+00;2.00000E-04;3.50E+07;1.57E+01;2.72329E-07;2.71629E-07;2.57830E-03;2.08E-03;4.03E+00;7.77E-01;2.15E-03;2.54E-06
1.06E+00;3.88E+00;3.50E+04;8.00E+01;7.75E+02;0.00000E+00;2.00000E-04;3.20E+07;2.90E+01;5.05608E-08;5.04982E-08;1.24050E-03;1.01E-03;7.47E+00;9.02E-01;1.03E-03;1.11E-06
1.06E+00;3.88E+00;1.11E+08;6.00E+03;9.49E+02;0.00000E+00;2.00000E-04;1.05E+10;6.06E+00;3.38572E-08;3.36655E-08;5.69462E-03;3.61E-03;1.56E+00;9.02E-01;3.56E-03;3.81E-05
1.06E+00;3.88E+00;1.11E+06;6.00E+03;7.75E+02;0.00000E+00;2.00000E-04;7.20E+09;7.65E+00;5.07623E-08;5.04982E-08;5.23075E-03;3.03E-03;1.97E+00;9.02E-01;4.36E-03;4.67E-07
3.85E+00;3.55E+00;8.99E+05;5.00E+02;3.16E+03;0.00000E+00;2.00000E-04;6.10E+08;2.69E+01;1.49462E-08;1.49299E-08;1.08864E-03;7.55E-04;7.58E+00;7.37E-01;9.07E-04;1.11E-06
3.85E+00;3.55E+00;8.99E+06;5.00E+02;1.41E+03;0.00000E+00;2.00000E-04;8.00E+08;9.88E+00;7.48922E-08;7.46502E-08;3.24152E-03;2.21E-03;2.78E+00;7.37E-01;2.03E-03;2.49E-05
3.62E+00;3.55E+00;1.10E+06;6.00E+02;1.73E+03;0.00000E+00;2.00000E-04;7.70E+08;1.53E+01;4.47748E-08;4.46839E-08;2.03448E-03;1.45E-03;4.31E+00;7.42E-01;1.70E-03;2.07E-06
3.62E+00;3.55E+00;1.10E+07;6.00E+02;2.83E+03;0.00000E+00;2.00000E-04;9.70E+08;1.98E+01;1.67843E-08;1.67564E-08;1.66446E-03;1.12E-03;5.58E+00;7.42E-01;1.04E-03;1.27E-05
3.62E+00;3.55E+00;1.10E+05;6.00E+02;3.00E+03;0.00000E+00;2.00000E-04;6.05E+08;3.06E+01;1.49063E-08;1.48946E-08;7.84400E-04;6.58E-04;8.62E+00;7.42E-01;9.80E-04;1.20E-07
2.43E+00;3.55E+00;3.07E+05;5.00E+01;9.49E+02;0.00000E+00;2.00000E-04;3.00E+07;2.05E+01;7.80851E-08;7.79511E-08;1.71843E-03;1.24E-03;5.78E+00;7.82E-01;1.07E-03;1.27E-05
1.23E+00;3.55E+00;4.20E+05;5.00E+02;2.45E+03;0.00000E+00;2.00000E-04;2.98E+08;3.84E+01;5.19873E-09;5.19616E-09;4.93924E-04;4.76E-04;1.08E+01;8.81E-01;6.17E-04;6.71E-07
2.22E+00;1.21E+00;1.08E+03;5.00E+01;7.75E+01;0.00E+00;3.00E-04;1.10E+07;2.84E+00;3.51911E-06;3.48943E-06;8.50467E-03;5.56E-03;2.35E+00;7.94E-01;4.66E-03;5.45E-07
3.20E+00;1.21E+00;9.98E+05;7.00E+03;2.24E+03;0.00E+00;3.00E-04;8.44E+09;1.07E+01;7.41437E-09;7.37923E-09;4.76268E-03;1.05E-03;8.84E+00;7.52E-01;1.03E-03;1.25E-07
3.20E+00;1.21E+00;9.98E+05;7.00E+03;2.83E+02;0.00E+00;3.00E-04;5.50E+09;1.30E+00;4.68866E-07;4.62311E-07;1.41795E-02;5.43E-03;1.07E+00;7.52E-01;8.15E-03;9.86E-07
3.70E+00;1.21E+00;2.37E+04;7.00E+01;7.75E+01;0.00E+00;3.00E-04;2.13E+07;1.56E+00;7.99890E-06;7.90214E-06;1.22443E-02;7.68E-03;1.29E+00;7.40E-01;6.99E-03;8.55E-06
3.70E+00;1.21E+00;2.37E+05;7.00E+01;3.00E+02;0.00E+00;3.00E-04;2.20E+07;3.50E+00;5.28882E-07;5.27358E-07;2.88924E-03;2.05E-03;2.89E+00;7.40E-01;1.81E-03;2.21E-05
1.06E+00;1.21E+00;3.89E+05;6.00E+03;6.32E+02;0.00E+00;3.00E-04;3.00E+09;5.60E+00;2.36753E-08;2.36563E-08;8.03589E-04;1.55E-03;4.63E+00;9.02E-01;1.87E-03;2.01E-07
3.33E+00;1.27E+00;1.91E+04;5.00E+01;3.16E+02;1.00000E-03;2.00000E-04;5.90E+06;7.50E+00;4.16220E-07;4.15572E-07;1.55939E-03;7.30E-04;5.91E+00;7.49E-01;1.95E-03;2.36E-06
1.06E+00;1.21E+00;3.89E+05;6.00E+03;1.73E+02;0.00E+00;3.00E-04;2.40E+09;1.48E+00;3.18410E-07;3.15710E-07;8.55157E-03;4.52E-03;1.22E+00;9.02E-01;6.85E-03;7.33E-07
1.43E+00;1.63E+00;9.79E+02;5.00E+01;2.24E+02;0.00E+00;3.00E-04;8.10E+06;1.00E+01;3.30272E-07;3.28503E-07;5.38498E-03;1.42E-03;6.13E+00;8.59E-01;1.55E-03;1.71E-07
1.43E+00;1.63E+00;9.79E+02;5.00E+01;5.48E+01;0.00E+00;3.00E-04;1.03E+07;2.92E+00;5.54987E-06;5.48876E-06;1.11336E-02;7.36E-03;1.79E+00;8.59E-01;6.32E-03;6.99E-07
3.32E+00;1.63E+00;1.49E+07;8.00E+03;6.32E+02;0.00E+00;3.00E-04;1.05E+10;2.40E+00;1.33423E-07;1.32857E-07;4.26011E-03;4.06E-03;1.47E+00;7.49E-01;4.76E-03;5.77E-06
3.32E+00;1.63E+00;1.49E+07;8.00E+03;8.94E+02;0.00E+00;3.00E-04;1.18E+10;3.32E+00;6.66004E-08;6.63963E-08;3.07459E-03;3.23E-03;2.04E+00;7.49E-01;3.36E-03;4.08E-06
2.39E+00;1.63E+00;1.00E+06;7.00E+03;8.94E+02;0.00E+00;3.00E-04;6.50E+09;5.20E+00;3.94090E-08;3.93211E-08;2.23644E-03;2.03E-03;3.19E+00;7.84E-01;2.66E-03;3.13E-07
3.55E+00;1.63E+00;4.93E+04;6.00E+02;3.00E+02;0.00E+00;3.00E-04;3.60E+08;3.43E+00;6.64658E-07;6.61169E-07;5.27740E-03;3.91E-03;2.10E+00;7.43E-01;4.40E-03;5.36E-07
1.52E+00;2.82E+00;1.07E+07;7.00E+03;7.07E+02;0.00E+00;3.00E-04;8.44E+09;5.20E+00;6.10528E-08;6.07950E-08;4.24048E-03;3.34E-03;1.84E+00;8.49E-01;3.79E-03;4.23E-06
1.52E+00;2.82E+00;1.07E+07;7.00E+03;3.00E+03;0.00E+00;3.00E-04;1.20E+10;2.40E+01;3.38010E-09;3.37648E-09;1.07212E-03;1.12E-03;8.51E+00;8.49E-01;8.93E-04;9.97E-07
3.71E+00;2.82E+00;7.32E+06;6.00E+02;3.16E+02;0.00E+00;3.00E-04;7.10E+08;2.89E+00;1.11960E-06;1.11297E-06;5.95547E-03;7.33E-03;1.02E+00;7.40E-01;6.18E-03;7.56E-05
3.71E+00;2.82E+00;7.32E+05;6.00E+02;7.07E+02;0.00E+00;3.00E-04;5.00E+08;7.56E+00;2.23010E-07;2.22341E-07;3.00909E-03;2.31E-03;2.68E+00;7.40E-01;2.76E-03;3.38E-06
3.71E+00;2.82E+00;7.32E+06;6.00E+02;2.65E+03;0.00E+00;3.00E-04;6.60E+08;2.14E+01;1.58908E-08;1.58258E-08;4.10519E-03;8.12E-04;7.59E+00;7.40E-01;7.37E-04;9.01E-06
3.41E+00;2.82E+00;2.19E+06;8.00E+03;8.37E+02;0.00E+00;3.00E-04;1.23E+10;4.58E+00;1.37832E-07;1.37143E-07;5.02426E-03;3.59E-03;1.62E+00;7.47E-01;5.26E-03;6.40E-07
3.33E+00;1.27E+00;1.91E+03;5.00E+01;2.00E+02;1.00000E-03;2.00000E-04;1.10E+07;5.40E+00;1.04405E-06;1.03893E-06;4.92676E-03;2.15E-03;4.25E+00;7.49E-01;3.08E-03;3.73E-07
3.41E+00;2.82E+00;2.19E+07;8.00E+03;7.75E+02;0.00E+00;3.00E-04;1.49E+10;3.33E+00;1.61222E-07;1.59964E-07;7.86713E-03;4.70E-03;1.18E+00;7.47E-01;5.68E-03;6.91E-06
3.08E+00;2.82E+00;6.46E+04;6.00E+02;2.65E+02;0.00E+00;3.00E-04;5.25E+08;4.07E+00;1.16602E-06;1.15314E-06;1.11712E-02;6.46E-03;1.44E+00;7.56E-01;6.60E-03;7.95E-07
2.82E+00;1.57E+00;1.58E+04;6.00E+01;7.75E+01;0.00E+00;4.00E-04;1.53E+07;2.54E+00;6.56849E-06;6.50375E-06;9.95370E-03;6.44E-03;1.62E+00;7.65E-01;5.56E-03;6.65E-06
2.82E+00;1.57E+00;1.58E+04;6.00E+01;3.00E+02;0.00E+00;4.00E-04;1.20E+07;8.30E+00;4.34783E-07;4.34035E-07;1.72285E-03;1.30E-03;5.29E+00;7.65E-01;1.44E-03;1.72E-06
2.82E+00;1.57E+00;1.58E+04;6.00E+01;8.37E+01;0.00E+00;4.00E-04;1.57E+07;2.60E+00;5.62645E-06;5.57592E-06;9.06210E-03;6.12E-03;1.66E+00;7.65E-01;5.15E-03;6.16E-06
2.37E+00;1.57E+00;3.03E+06;6.00E+02;3.16E+02;0.00E+00;4.00E-04;2.65E+08;3.21E+00;2.99918E-07;2.99394E-07;1.74869E-03;2.74E-03;2.04E+00;7.85E-01;2.66E-03;3.13E-05
2.16E+00;1.27E+00;1.43E+03;5.00E+01;1.00E+02;1.00000E-03;2.00000E-04;1.10E+07;3.16E+00;2.12855E-06;2.11633E-06;5.77510E-03;4.31E-03;2.49E+00;7.97E-01;4.81E-03;5.60E-07
3.83E+00;1.57E+00;1.94E+03;6.00E+01;2.00E+02;0.00E+00;4.00E-04;1.60E+07;5.98E+00;1.64070E-06;1.63564E-06;3.09616E-03;2.61E-03;3.81E+00;7.37E-01;2.58E-03;3.16E-07
3.31E+00;1.27E+00;8.82E+05;5.00E+03;2.00E+03;1.00000E-03;2.00000E-04;4.35E+09;9.40E+00;1.03015E-08;1.02839E-08;1.71099E-03;8.51E-04;7.40E+00;7.49E-01;1.42E-03;1.73E-07
3.83E+00;1.57E+00;1.94E+04;6.00E+01;1.00E+02;0.00E+00;4.00E-04;1.77E+07;2.66E+00;6.59655E-06;6.54254E-06;8.25470E-03;5.77E-03;1.69E+00;7.37E-01;5.16E-03;6.33E-06
3.98E+00;1.18E+00;2.78E+05;5.00E+02;5.48E+02;0.00E+00;4.00E-04;1.90E+08;5.00E+00;1.75771E-07;1.75253E-07;2.95567E-03;1.36E-03;4.24E+00;7.35E-01;1.61E-03;1.99E-06
3.98E+00;1.18E+00;2.78E+04;5.00E+02;2.83E+02;0.00E+00;4.00E-04;1.65E+08;3.33E+00;6.60335E-07;6.57134E-07;4.87163E-03;2.28E-03;2.82E+00;7.35E-01;3.13E-03;3.84E-07
3.98E+00;1.18E+00;2.78E+04;5.00E+02;5.48E+02;0.00E+00;4.00E-04;1.62E+08;6.15E+00;1.75657E-07;1.75253E-07;2.30518E-03;1.16E-03;5.21E+00;7.35E-01;1.61E-03;1.99E-07
3.97E+00;2.52E+00;4.84E+06;8.00E+02;9.49E+03;1.00E-04;3.00E-05;3.44E+09;1.89E+01;1.24E-09;1.24243E-09;1.88877E-03;8.87E-04;7.50E+00;7.35E-01;1.02E-03;1.25E-06
2.60E+00;1.18E+00;9.70E+03;5.00E+01;7.07E+01;0.00E+00;4.00E-04;9.20E+06;2.23E+00;5.20584E-06;5.16996E-06;6.93983E-03;5.09E-03;1.89E+00;7.74E-01;4.53E-03;5.37E-06
2.60E+00;1.18E+00;9.70E+02;5.00E+01;2.83E+02;0.00E+00;4.00E-04;6.80E+06;9.40E+00;3.23464E-07;3.22666E-07;2.47304E-03;9.40E-04;7.97E+00;7.74E-01;1.13E-03;1.34E-07
1.02E+00;1.18E+00;3.78E+07;7.00E+03;3.00E+02;0.00E+00;4.00E-04;4.60E+09;2.11E+00;1.00184E-07;9.96576E-08;5.28253E-03;4.29E-03;1.79E+00;9.07E-01;3.30E-03;3.52E-05
1.02E+00;1.18E+00;3.78E+06;7.00E+03;6.32E+02;0.00E+00;4.00E-04;4.17E+09;5.70E+00;2.24651E-08;2.24553E-08;4.37064E-04;1.84E-03;4.83E+00;9.07E-01;1.57E-03;1.67E-06
3.31E+00;1.27E+00;8.82E+07;5.00E+03;1.00E+03;1.00000E-03;2.00000E-04;4.80E+09;2.90E+00;4.12762E-08;4.11356E-08;3.41754E-03;1.88E-03;2.28E+00;7.49E-01;2.85E-03;3.45E-05
3.64E+00;1.38E+00;9.80E+05;7.00E+03;5.48E+02;0.00E+00;4.00E-04;6.10E+09;2.80E+00;1.76233E-07;1.75193E-07;5.93705E-03;3.11E-03;2.03E+00;7.41E-01;4.09E-03;5.00E-07
1.18E+00;3.66E+00;7.64E+05;7.00E+03;2.45E+02;0.00E+00;5.00E-04;4.10E+09;3.80E+00;5.20672E-07;5.17126E-07;6.85804E-03;4.68E-03;1.04E+00;8.87E-01;8.05E-03;8.72E-07
3.90E+00;3.66E+00;9.40E+05;8.00E+02;3.00E+03;0.00E+00;5.00E-04;6.50E+08;4.14E+01;1.75056E-08;1.74968E-08;5.01043E-04;5.30E-04;1.13E+01;7.36E-01;6.25E-04;7.66E-07
3.90E+00;3.66E+00;9.40E+05;8.00E+02;7.75E+02;0.00E+00;5.00E-04;5.80E+08;1.04E+01;2.62960E-07;2.62179E-07;2.97736E-03;1.83E-03;2.84E+00;7.36E-01;2.42E-03;2.97E-06
2.57E+00;3.66E+00;1.76E+05;5.00E+01;3.16E+02;0.00E+00;5.00E-04;1.70E+07;1.24E+01;7.89670E-07;7.88484E-07;1.50445E-03;2.11E-03;3.39E+00;7.75E-01;1.84E-03;2.18E-05
3.22E+00;1.00E+00;7.50E+06;8.00E+03;1.00E+03;0.00E+00;5.00E-04;7.20E+09;4.90E+00;3.09773E-08;3.09210E-08;1.82077E-03;1.76E-03;4.90E+00;7.52E-01;1.52E-03;1.83E-06
3.13E+00;1.00E+00;3.42E+06;8.00E+02;3.16E+02;0.00E+00;5.00E-04;3.00E+08;2.40E+00;2.95698E-07;2.95348E-07;1.18572E-03;2.32E-03;2.40E+00;7.54E-01;2.19E-03;2.65E-05
3.13E+00;1.00E+00;3.42E+06;8.00E+02;1.00E+02;0.00E+00;5.00E-04;2.98E+08;8.00E-01;2.98190E-06;2.94923E-06;1.10792E-02;7.29E-03;8.00E-01;7.54E-01;6.93E-03;8.37E-05
3.13E+00;1.00E+00;3.42E+05;8.00E+02;8.37E+01;0.00E+00;5.00E-04;2.30E+08;8.60E-01;4.25503E-06;4.20976E-06;1.07544E-02;6.72E-03;8.60E-01;7.54E-01;8.27E-03;1.00E-05
3.40E+00;1.00E+00;2.46E+05;6.00E+02;2.83E+02;0.00E+00;5.00E-04;1.62E+08;2.94E+00;4.24542E-07;4.23279E-07;2.98361E-03;1.87E-03;2.94E+00;7.47E-01;2.33E-03;2.84E-06
3.32E+00;1.78E+00;8.05E+05;7.00E+02;8.37E+02;1.00000E-03;2.00000E-04;4.50E+08;7.80E+00;8.30789E-08;8.27853E-08;3.54698E-03;1.50E-03;4.38E+00;7.49E-01;2.22E-03;2.69E-06
1.87E+00;1.00E+00;2.42E+04;8.00E+02;3.00E+02;0.00E+00;5.00E-04;1.65E+08;4.75E+00;1.52903E-07;1.52692E-07;1.38405E-03;1.35E-03;4.75E+00;8.18E-01;1.73E-03;1.97E-07
3.55E+00;3.88E+00;4.26E+03;8.00E+01;4.47E+02;0.00E+00;5.00E-04;3.70E+07;1.98E+01;7.09846E-07;7.08898E-07;1.33694E-03;2.02E-03;5.10E+00;7.43E-01;1.91E-03;2.33E-07
3.55E+00;3.88E+00;4.26E+05;8.00E+01;7.07E+02;0.00E+00;5.00E-04;3.60E+07;1.85E+01;2.83699E-07;2.83374E-07;1.14662E-03;1.25E-03;4.77E+00;7.43E-01;1.21E-03;1.47E-05
3.55E+00;3.88E+00;4.26E+05;8.00E+01;1.00E+03;0.00E+00;5.00E-04;3.50E+07;2.62E+01;1.41741E-07;1.41644E-07;6.83049E-04;8.56E-04;6.75E+00;7.43E-01;8.55E-04;1.04E-05
3.40E+00;3.61E+00;6.16E+04;5.00E+01;1.00E+03;1.00000E-03;1.00000E-04;9.20E+06;2.70E+01;1.22768E-07;1.22379E-07;3.17865E-03;3.60E-04;7.48E+00;7.47E-01;1.99E-03;2.41E-06
1.92E+00;3.61E+00;7.88E+04;8.00E+01;6.32E+02;1.00000E-03;1.00000E-04;3.00E+07;1.76E+01;1.28708E-07;1.28299E-07;3.18622E-03;1.16E-03;4.88E+00;8.14E-01;2.66E-03;3.05E-06
1.92E+00;3.61E+00;7.88E+05;8.00E+01;9.49E+02;1.00000E-03;1.00000E-04;1.70E+07;1.96E+01;5.71835E-08;5.70220E-08;2.83239E-03;4.38E-04;5.43E+00;8.14E-01;1.77E-03;2.03E-05
2.02E+00;3.61E+00;4.35E+05;5.00E+01;1.00E+03;1.00000E-03;1.00000E-04;6.00E+06;2.35E+01;5.49729E-08;5.48756E-08;1.77292E-03;2.35E-04;6.51E+00;8.07E-01;1.48E-03;1.70E-05
3.13E+00;3.84E+00;6.08E+05;5.00E+01;8.37E+02;1.00000E-03;1.00000E-04;1.50E+07;1.71E+01;1.62396E-07;1.61786E-07;3.76999E-03;7.02E-04;4.45E+00;7.54E-01;2.36E-03;2.84E-05
1.05E+00;3.84E+00;3.74E+04;6.00E+01;4.47E+02;1.00000E-03;1.00000E-04;1.40E+07;2.02E+01;1.49376E-07;1.48920E-07;3.06386E-03;1.02E-03;5.26E+00;9.04E-01;2.55E-03;2.73E-06
1.92E+00;3.84E+00;2.04E+08;5.00E+03;5.48E+03;1.00000E-03;1.00000E-04;9.28E+09;2.45E+01;1.82334E-09;1.81965E-09;2.03058E-03;6.63E-04;6.38E+00;8.14E-01;1.27E-03;1.46E-05
1.92E+00;3.84E+00;2.04E+07;5.00E+03;7.75E+03;1.00000E-03;1.00000E-04;8.66E+09;4.85E+01;9.10477E-10;9.09823E-10;7.18576E-04;4.38E-04;1.26E+01;8.14E-01;8.97E-04;1.03E-06
1.72E+00;3.84E+00;2.96E+06;7.00E+03;1.00E+03;1.00000E-03;1.00000E-04;2.80E+10;5.20E+00;4.81581E-08;4.76006E-08;1.17112E-02;7.83E-03;1.35E+00;8.30E-01;7.32E-03;8.29E-07
1.72E+00;3.84E+00;2.96E+07;7.00E+03;2.24E+03;1.00000E-03;1.00000E-04;1.70E+10;9.00E+00;9.54506E-09;9.52011E-09;2.62069E-03;2.13E-03;2.34E+00;8.30E-01;3.27E-03;3.71E-06
1.72E+00;3.84E+00;2.96E+07;7.00E+03;1.00E+03;1.00000E-03;1.00000E-04;1.88E+10;4.00E+00;4.78794E-08;4.76006E-08;5.85622E-03;5.26E-03;1.04E+00;8.30E-01;7.32E-03;8.29E-06
3.75E+00;1.13E+00;3.06E+07;8.00E+03;1.00E+03;1.00000E-03;8.00000E-05;1.59E+10;1.32E+00;4.55984E-08;4.53766E-08;4.88881E-03;3.89E-03;1.17E+00;7.39E-01;6.11E-03;7.48E-06
3.75E+00;1.13E+00;3.06E+08;8.00E+03;2.00E+03;1.00000E-03;8.00000E-05;1.56E+10;2.12E+00;1.13719E-08;1.13441E-08;2.44702E-03;1.91E-03;1.88E+00;7.39E-01;3.06E-03;3.74E-05
1.49E+00;1.13E+00;2.98E+03;7.00E+01;3.16E+02;1.00000E-03;8.00000E-05;1.33E+07;6.50E+00;1.19669E-07;1.19218E-07;3.78594E-03;1.18E-03;5.75E+00;8.52E-01;2.37E-03;2.63E-07
1.49E+00;1.13E+00;2.98E+03;7.00E+01;3.00E+02;1.00000E-03;8.00000E-05;1.40E+07;6.33E+00;1.32596E-07;1.32464E-07;9.94608E-04;1.30E-03;5.60E+00;8.52E-01;2.50E-03;2.78E-07
3.22E+00;1.13E+00;2.76E+07;8.00E+03;6.32E+03;1.00000E-03;8.00000E-05;1.00E+10;1.07E+01;8.74135E-10;8.73517E-10;7.07534E-04;3.87E-04;9.45E+00;7.52E-01;8.83E-04;1.07E-06
3.22E+00;1.13E+00;2.76E+07;8.00E+03;3.00E+03;1.00000E-03;8.00000E-05;1.30E+10;5.48E+00;3.89387E-09;3.88230E-09;2.97933E-03;1.06E-03;4.85E+00;7.52E-01;1.86E-03;2.25E-06
3.22E+00;1.13E+00;2.76E+08;8.00E+03;2.83E+03;1.00000E-03;8.00000E-05;1.12E+10;3.70E+00;4.37449E-09;4.36758E-09;1.58157E-03;9.69E-04;3.27E+00;7.52E-01;1.97E-03;2.39E-05
3.22E+00;1.13E+00;2.76E+06;8.00E+03;2.45E+03;1.00000E-03;8.00000E-05;1.10E+10;5.40E+00;5.83408E-09;5.82345E-09;1.82473E-03;1.10E-03;4.78E+00;7.52E-01;2.28E-03;2.76E-07
1.33E+00;2.97E+00;1.99E+06;6.00E+03;2.65E+03;1.00000E-03;8.00000E-05;9.00E+09;1.34E+01;4.00487E-09;3.99773E-09;1.78601E-03;1.11E-03;4.51E+00;8.70E-01;2.23E-03;2.45E-07
1.78E+00;2.97E+00;3.54E+08;8.00E+03;4.47E+03;1.00000E-03;8.00000E-05;1.50E+10;1.15E+01;1.92400E-09;1.91877E-09;2.72830E-03;8.20E-04;3.87E+00;8.25E-01;1.70E-03;1.94E-05
3.64E+00;2.97E+00;5.71E+06;8.00E+03;6.32E+03;1.00000E-03;8.00000E-05;1.67E+10;1.78E+01;2.83685E-09;2.83070E-09;2.17161E-03;6.46E-04;5.99E+00;7.41E-01;1.81E-03;2.21E-07
3.64E+00;2.97E+00;5.71E+08;8.00E+03;2.65E+03;1.00000E-03;8.00000E-05;3.70E+10;3.90E+00;1.62314E-08;1.61755E-08;3.45680E-03;3.42E-03;1.31E+00;7.41E-01;4.32E-03;5.28E-05
2.85E+00;2.97E+00;1.53E+06;6.00E+02;2.24E+03;1.00000E-03;8.00000E-05;7.00E+08;1.50E+01;1.50769E-08;1.50319E-08;2.99461E-03;1.02E-03;5.05E+00;7.64E-01;1.87E-03;2.24E-06
2.85E+00;2.97E+00;1.53E+05;6.00E+02;1.41E+03;1.00000E-03;8.00000E-05;1.06E+09;1.20E+01;3.77574E-08;3.75800E-08;4.72138E-03;2.44E-03;4.04E+00;7.64E-01;2.95E-03;3.54E-07
1.69E+00;3.04E+00;8.62E+05;5.00E+02;7.75E+02;1.00000E-03;8.00000E-05;6.80E+08;7.20E+00;6.17953E-08;6.15105E-08;4.62933E-03;3.44E-03;2.37E+00;8.33E-01;3.86E-03;4.36E-06
1.39E+00;3.04E+00;2.08E+06;6.00E+03;7.75E+03;1.00000E-03;8.00000E-05;8.05E+09;4.30E+01;4.98382E-10;4.98066E-10;6.35309E-04;3.39E-04;1.41E+01;8.63E-01;7.94E-04;8.75E-08
1.39E+00;3.04E+00;2.08E+07;6.00E+03;8.37E+02;1.00000E-03;8.00000E-05;1.40E+10;3.14E+00;4.29423E-08;4.26914E-08;5.87767E-03;5.46E-03;1.03E+00;8.63E-01;7.35E-03;8.10E-06
1.39E+00;3.04E+00;2.08E+06;6.00E+03;8.37E+03;1.00000E-03;8.00000E-05;7.20E+09;4.70E+01;4.27290E-10;4.26914E-10;8.81346E-04;2.81E-04;1.55E+01;8.63E-01;7.35E-04;8.10E-08
1.39E+00;3.04E+00;2.08E+08;6.00E+03;8.37E+02;1.00000E-03;8.00000E-05;1.52E+10;2.40E+00;4.29423E-08;4.26914E-08;5.87767E-03;5.93E-03;7.89E-01;8.63E-01;7.35E-03;8.10E-05
1.38E+00;3.04E+00;2.54E+08;7.00E+03;8.94E+03;1.00000E-03;8.00000E-05;9.00E+09;3.13E+01;3.71132E-10;3.70918E-10;5.76520E-04;2.81E-04;1.03E+01;8.64E-01;7.21E-04;7.94E-06
3.31E+00;3.04E+00;1.72E+07;6.00E+02;3.00E+03;1.00000E-03;8.00000E-05;4.90E+08;1.65E+01;1.09677E-08;1.09407E-08;2.46724E-03;5.33E-04;5.43E+00;7.49E-01;1.54E-03;1.87E-05
3.31E+00;3.04E+00;1.72E+07;6.00E+02;2.65E+03;1.00000E-03;8.00000E-05;4.90E+08;1.20E+01;1.40765E-08;1.40666E-08;7.01177E-04;6.04E-04;3.95E+00;7.49E-01;1.75E-03;2.12E-05
1.35E+00;1.49E+00;1.54E+07;6.00E+03;8.94E+02;1.00000E-03;6.00000E-05;8.70E+09;2.13E+00;1.78710E-08;1.77985E-08;4.07207E-03;3.17E-03;1.43E+00;8.67E-01;5.09E-03;5.60E-06
1.35E+00;1.49E+00;1.54E+08;6.00E+03;7.75E+02;1.00000E-03;6.00000E-05;1.07E+10;1.44E+00;2.38430E-08;2.37313E-08;4.70543E-03;4.51E-03;9.66E-01;8.67E-01;5.88E-03;6.47E-05
1.35E+00;1.49E+00;1.54E+06;6.00E+03;7.07E+02;1.00000E-03;6.00000E-05;1.18E+10;2.13E+00;2.86978E-08;2.84776E-08;7.73213E-03;5.44E-03;1.43E+00;8.67E-01;6.44E-03;7.08E-07
3.76E+00;1.49E+00;9.61E+04;8.00E+01;8.37E+02;1.00000E-03;6.00000E-05;3.30E+07;8.13E+00;8.61117E-08;8.58751E-08;2.75527E-03;9.65E-04;5.45E+00;7.39E-01;2.30E-03;2.81E-06
2.18E+00;1.79E+00;7.55E+05;8.00E+01;6.32E+02;1.00000E-03;6.00000E-05;3.80E+07;5.80E+00;7.57699E-08;7.55424E-08;3.01204E-03;1.47E-03;3.24E+00;7.96E-01;2.51E-03;2.92E-05
3.69E+00;1.79E+00;1.23E+07;5.00E+02;6.32E+02;1.00000E-03;6.00000E-05;1.11E+09;2.14E+00;1.76453E-07;1.74705E-07;1.00062E-02;6.87E-03;1.20E+00;7.40E-01;6.25E-03;7.64E-05
3.96E+00;1.79E+00;2.03E+06;7.00E+02;2.00E+03;1.00000E-03;6.00000E-05;1.10E+09;8.00E+00;1.98543E-08;1.97813E-08;3.69086E-03;1.54E-03;4.47E+00;7.35E-01;2.31E-03;2.83E-06
3.96E+00;1.79E+00;2.03E+06;7.00E+02;2.24E+03;1.00000E-03;6.00000E-05;8.00E+08;9.21E+00;1.58773E-08;1.58250E-08;3.30468E-03;1.00E-03;5.15E+00;7.35E-01;2.06E-03;2.53E-06
1.79E+00;2.47E+00;2.04E+06;5.00E+03;2.24E+03;1.00000E-03;6.00000E-05;1.40E+10;7.90E+00;6.45928E-09;6.42705E-09;5.01445E-03;2.45E-03;3.20E+00;8.24E-01;3.13E-03;3.56E-07
1.79E+00;2.47E+00;2.04E+08;5.00E+03;3.00E+03;1.00000E-03;6.00000E-05;9.73E+09;6.50E+00;3.58059E-09;3.57059E-09;2.80042E-03;1.27E-03;2.63E+00;8.24E-01;2.33E-03;2.66E-05
3.36E+00;2.47E+00;4.85E+06;7.00E+03;6.32E+03;1.00000E-03;6.00000E-05;1.83E+10;1.64E+01;2.05738E-09;2.05158E-09;2.82760E-03;8.09E-04;6.62E+00;7.48E-01;1.77E-03;2.14E-07
1.88E+00;1.91E+00;9.36E+05;8.00E+01;5.48E+02;1.00E-03;4.00E-05;4.30E+07;5.30E+00;8.83467E-08;8.80000E-08;3.93947E-03;1.92E-03;2.77E+00;8.17E-01;3.65E-03;4.18E-05
2.01E+00;1.91E+00;8.19E+04;7.00E+01;9.49E+02;1.00E-03;4.00E-05;1.78E+07;1.30E+01;3.20729E-08;3.20247E-08;1.50507E-03;5.24E-04;6.81E+00;8.07E-01;2.09E-03;2.41E-06
