k;lu;P0;I;gamma;sgamma;r;Psat;Lsat;loptim;lres;loptim/lres;Psat/Pall;Lsat/lu;f;rho;P0/Pall
1.95E+00;2.17E+00;2.43E+05;6.00E+02;7.75E+03;0.00000E+00;2.00000E-05;1.70E+09;2.17E+01;5.25017E-10;5.24642E-10;7.14277E-04;7.16E-04;9.99E+00;8.12E-01;8.92E-04;1.02E-07
1.95E+00;2.17E+00;2.43E+07;6.00E+02;3.16E+03;0.00000E+00;2.00000E-05;2.48E+09;6.45E+00;3.15886E-09;3.14785E-09;3.49712E-03;2.56E-03;2.97E+00;8.12E-01;2.18E-03;2.51E-05
1.47E+00;2.17E+00;4.34E+06;6.00E+03;1.00E+04;0.00000E+00;2.00000E-05;2.44E+10;1.40E+01;2.25959E-10;2.25729E-10;1.01970E-03;7.96E-04;6.45E+00;8.54E-01;1.28E-03;1.42E-07
1.47E+00;2.17E+00;4.34E+09;6.00E+03;2.65E+03;0.00000E+00;2.00000E-05;5.30E+10;1.97E+00;3.24957E-09;3.22470E-09;7.71213E-03;6.53E-03;9.08E-01;8.54E-01;4.82E-03;5.35E-04
1.47E+00;2.17E+00;4.34E+06;6.00E+03;7.75E+03;0.00000E+00;2.00000E-05;2.44E+10;1.09E+01;3.76710E-10;3.76214E-10;1.31737E-03;1.03E-03;5.04E+00;8.54E-01;1.65E-03;1.83E-07
2.38E+00;3.58E+00;8.36E+06;6.00E+03;4.47E+03;0.00000E+00;2.00000E-05;7.00E+10;6.68E+00;3.45117E-09;3.42981E-09;6.22693E-03;5.11E-03;1.87E+00;7.85E-01;5.19E-03;6.10E-07
2.38E+00;3.58E+00;8.36E+09;6.00E+03;8.94E+03;0.00000E+00;2.00000E-05;1.00E+11;6.15E+00;8.61013E-10;8.57455E-10;4.14935E-03;3.65E-03;1.72E+00;7.85E-01;2.59E-03;3.05E-04
2.43E+00;3.74E+00;3.18E+08;5.00E+02;3.16E+03;0.00000E+00;2.00000E-05;3.40E+09;6.75E+00;7.43055E-09;7.39107E-09;5.34150E-03;4.21E-03;1.80E+00;7.82E-01;3.34E-03;3.93E-04
2.41E+00;3.74E+00;1.47E+05;5.00E+01;4.47E+03;0.00000E+00;2.00000E-05;1.06E+08;3.60E+01;3.65506E-09;3.65028E-09;1.30945E-03;9.28E-04;9.63E+00;7.83E-01;1.09E-03;1.28E-06
1.66E+00;3.74E+00;4.61E+07;8.00E+02;7.75E+03;0.00000E+00;2.00000E-05;4.74E+09;1.77E+01;7.42230E-10;7.41080E-10;1.55129E-03;1.50E-03;4.74E+00;8.36E-01;1.29E-03;1.46E-05
1.66E+00;3.74E+00;4.61E+06;8.00E+02;2.65E+03;0.00000E+00;2.00000E-05;3.70E+09;9.00E+00;6.38096E-09;6.35213E-09;4.53877E-03;3.42E-03;2.41E+00;8.36E-01;3.78E-03;4.26E-06
1.11E+00;3.44E+00;3.34E+07;8.00E+02;7.07E+03;0.00000E+00;2.00000E-05;3.13E+09;1.89E+01;5.56637E-10;5.55921E-10;1.28821E-03;1.08E-03;5.48E+00;8.96E-01;1.07E-03;1.15E-05
2.48E+00;3.44E+00;1.41E+06;5.00E+01;3.16E+03;0.00000E+00;2.00000E-05;9.70E+07;2.11E+01;7.02181E-09;7.00933E-09;1.77997E-03;1.20E-03;6.14E+00;7.79E-01;1.48E-03;1.75E-05
1.16E+00;3.44E+00;1.09E+05;6.00E+01;2.83E+03;0.00000E+00;2.00000E-05;9.00E+07;3.00E+01;3.60152E-09;3.59651E-09;1.39227E-03;1.04E-03;8.72E+00;8.90E-01;1.16E-03;1.25E-06
1.16E+00;3.44E+00;1.09E+05;6.00E+01;2.00E+03;0.00000E+00;2.00000E-05;8.11E+07;2.38E+01;7.20719E-09;7.19304E-09;1.96718E-03;1.32E-03;6.93E+00;8.90E-01;1.64E-03;1.77E-06
3.34E+00;1.81E+00;3.79E+07;7.00E+02;3.16E+03;0.00000E+00;2.00000E-05;3.77E+09;4.38E+00;5.97923E-09;5.95290E-09;4.42302E-03;3.33E-03;2.42E+00;7.48E-01;2.76E-03;3.35E-05
1.64E+00;2.75E+00;2.54E+05;6.00E+02;3.16E+03;0.00000E+00;2.00000E-05;2.25E+09;1.20E+01;3.23310E-09;3.22410E-09;2.79296E-03;2.32E-03;4.35E+00;8.38E-01;2.33E-03;2.62E-07
1.64E+00;2.75E+00;2.54E+06;6.00E+02;3.16E+03;0.00000E+00;2.00000E-05;2.25E+09;9.96E+00;3.23310E-09;3.22410E-09;2.79296E-03;2.32E-03;3.62E+00;8.38E-01;2.33E-03;2.62E-06
1.69E+00;2.75E+00;5.58E+07;6.00E+03;3.16E+03;0.00000E+00;2.00000E-05;4.78E+10;4.12E+00;3.35899E-09;3.33856E-09;6.11826E-03;4.93E-03;1.50E+00;8.33E-01;5.10E-03;5.76E-06
1.69E+00;2.75E+00;5.58E+08;6.00E+03;8.94E+03;0.00000E+00;2.00000E-05;4.50E+10;8.50E+00;4.17923E-10;4.17321E-10;1.44188E-03;1.64E-03;3.09E+00;8.33E-01;1.80E-03;2.04E-05
1.36E+00;2.75E+00;5.93E+09;7.00E+03;7.75E+03;0.00000E+00;2.00000E-05;6.00E+10;6.00E+00;4.41786E-10;4.41100E-10;1.55606E-03;2.17E-03;2.18E+00;8.66E-01;1.95E-03;2.14E-04
